"country_id"	"language_id"	"offical"
"1"	"1"	"f"
"2"	"2"	"f"
"3"	"3"	"t"
"4"	"4"	"f"
"5"	"5"	"t"
"6"	"6"	"t"
"7"	"7"	"t"
"8"	"8"	"t"
"9"	"9"	"t"
"10"	"10"	"f"
"11"	"11"	"f"
"12"	"12"	"f"
"13"	"13"	"t"
"14"	"14"	"f"
"15"	"15"	"f"
"16"	"16"	"t"
"17"	"17"	"f"
"18"	"18"	"f"
"19"	"19"	"f"
"20"	"20"	"t"
"21"	"21"	"f"
"22"	"22"	"f"
"23"	"23"	"t"
"24"	"24"	"f"
"25"	"25"	"f"
"26"	"26"	"t"
"27"	"27"	"f"
"28"	"28"	"t"
"29"	"29"	"f"
"30"	"30"	"t"
"31"	"31"	"t"
"32"	"32"	"t"
"33"	"33"	"t"
"34"	"34"	"f"
"35"	"35"	"t"
"36"	"36"	"t"
"37"	"37"	"f"
"38"	"38"	"t"
"39"	"39"	"t"
"40"	"40"	"t"
"41"	"41"	"f"
"42"	"42"	"f"
"43"	"43"	"f"
"44"	"44"	"t"
"45"	"45"	"f"
"46"	"46"	"t"
"47"	"47"	"f"
"48"	"48"	"t"
"49"	"49"	"t"
"50"	"50"	"f"
"51"	"51"	"t"
"52"	"52"	"f"
"53"	"53"	"t"
"54"	"54"	"t"
"55"	"55"	"t"
"56"	"56"	"t"
"57"	"57"	"t"
"58"	"58"	"t"
"59"	"59"	"t"
"60"	"60"	"f"
"61"	"61"	"f"
"62"	"62"	"t"
"63"	"63"	"f"
"64"	"64"	"t"
"65"	"65"	"f"
"66"	"66"	"f"
"67"	"67"	"f"
"68"	"68"	"t"
"69"	"69"	"f"
"70"	"70"	"t"
"71"	"71"	"f"
"72"	"72"	"t"
"73"	"73"	"t"
"74"	"74"	"f"
"75"	"75"	"t"
"76"	"76"	"f"
"77"	"77"	"f"
"78"	"78"	"t"
"79"	"79"	"f"
"80"	"80"	"t"
"81"	"81"	"t"
"82"	"82"	"t"
"83"	"83"	"t"
"84"	"84"	"f"
"85"	"85"	"t"
"86"	"86"	"t"
"87"	"87"	"f"
"88"	"88"	"t"
"89"	"89"	"t"
"90"	"90"	"f"
"91"	"91"	"f"
"92"	"92"	"t"
"93"	"93"	"f"
"94"	"94"	"f"
"95"	"95"	"t"
"96"	"96"	"f"
"97"	"97"	"t"
"98"	"98"	"f"
"99"	"99"	"t"
"100"	"100"	"t"
"101"	"101"	"t"
"102"	"102"	"f"
"103"	"103"	"t"
"104"	"104"	"f"
"105"	"105"	"t"
"106"	"106"	"t"
"107"	"107"	"t"
"108"	"108"	"t"
"109"	"109"	"f"
"110"	"110"	"t"
"111"	"111"	"f"
"112"	"112"	"f"
"113"	"113"	"t"
"114"	"114"	"t"
"115"	"115"	"f"
"116"	"116"	"t"
"117"	"117"	"t"
"118"	"118"	"f"
"119"	"119"	"f"
"120"	"120"	"f"
"121"	"121"	"t"
"122"	"122"	"t"
"123"	"123"	"t"
"124"	"124"	"f"
"125"	"125"	"f"
"126"	"126"	"f"
"127"	"127"	"f"
"128"	"128"	"f"
"129"	"129"	"t"
"130"	"130"	"t"
"131"	"131"	"t"
"132"	"132"	"f"
"133"	"133"	"f"
"134"	"134"	"f"
"135"	"135"	"f"
"136"	"136"	"f"
"137"	"137"	"t"
"138"	"138"	"f"
"139"	"139"	"f"
"140"	"140"	"f"
"141"	"141"	"t"
"142"	"142"	"f"
"143"	"143"	"t"
"144"	"144"	"t"
"145"	"145"	"t"
"146"	"146"	"t"
"147"	"147"	"f"
"148"	"148"	"f"
"149"	"149"	"f"
"150"	"150"	"f"
"151"	"151"	"t"
"152"	"152"	"f"
"153"	"153"	"f"
"154"	"154"	"f"
"155"	"155"	"f"
"156"	"156"	"t"
"157"	"157"	"f"
"158"	"158"	"t"
"159"	"159"	"t"
"160"	"160"	"f"
"161"	"161"	"t"
"162"	"162"	"t"
"163"	"163"	"t"
"164"	"164"	"t"
"165"	"165"	"t"
"166"	"166"	"f"
"167"	"167"	"t"
"168"	"168"	"t"
"169"	"169"	"f"
"170"	"170"	"f"
"171"	"171"	"f"
"172"	"172"	"f"
"173"	"173"	"t"
"174"	"174"	"f"
"175"	"175"	"f"
"176"	"176"	"f"
"177"	"177"	"t"
"178"	"178"	"f"
"179"	"179"	"t"
"180"	"180"	"t"
"181"	"181"	"f"
"182"	"182"	"f"
"183"	"183"	"t"
"184"	"184"	"t"
"185"	"185"	"f"
"186"	"186"	"t"
"187"	"187"	"f"
"188"	"188"	"f"
"189"	"189"	"t"
"190"	"190"	"f"
"191"	"191"	"t"
"192"	"192"	"t"
"193"	"193"	"f"
"194"	"194"	"t"
"195"	"195"	"f"
"196"	"196"	"t"
"197"	"197"	"f"
"198"	"198"	"f"
"199"	"199"	"t"
"200"	"200"	"t"
"201"	"201"	"t"
"202"	"202"	"f"
"203"	"203"	"f"
"204"	"204"	"t"
"205"	"205"	"f"
"206"	"206"	"f"
"207"	"207"	"t"
"208"	"208"	"f"
"209"	"209"	"t"
"210"	"210"	"t"
"211"	"211"	"f"
"212"	"212"	"f"
"213"	"213"	"f"
"214"	"214"	"f"
"215"	"215"	"t"
"216"	"216"	"f"
"217"	"217"	"t"
"218"	"218"	"f"
"219"	"219"	"f"
"220"	"220"	"t"
"221"	"221"	"t"
"222"	"222"	"t"
"223"	"223"	"t"
"224"	"224"	"t"
"225"	"225"	"f"
"226"	"226"	"t"
"227"	"227"	"f"
"228"	"228"	"f"
"229"	"229"	"t"
"230"	"230"	"f"
"231"	"231"	"t"
"232"	"232"	"f"
"233"	"233"	"t"
"234"	"234"	"f"
"235"	"235"	"f"
"236"	"236"	"f"
"237"	"237"	"t"
"238"	"238"	"t"
"239"	"239"	"t"
"240"	"240"	"t"
"241"	"241"	"f"
"242"	"242"	"t"
"243"	"243"	"t"
"244"	"244"	"f"
"245"	"245"	"t"
"246"	"246"	"f"
"247"	"247"	"t"
"248"	"248"	"t"
"249"	"249"	"t"
"250"	"250"	"t"
"251"	"251"	"t"
"252"	"252"	"f"
"253"	"253"	"t"
"254"	"254"	"t"
"255"	"255"	"t"
"256"	"256"	"t"
"257"	"257"	"t"
"258"	"258"	"f"
"259"	"259"	"f"
"260"	"260"	"t"
"261"	"261"	"t"
"262"	"262"	"f"
"263"	"263"	"f"
"264"	"264"	"t"
"265"	"265"	"t"
"266"	"266"	"t"
"267"	"267"	"f"
"268"	"268"	"t"
"269"	"269"	"t"
"270"	"270"	"f"
"271"	"271"	"f"
