"country_id"	"year"	"population"	"gdp"
"1"	"1"	"572"	"252"
"2"	"2"	"902"	"641"
"3"	"3"	"385"	"161"
"4"	"4"	"360"	"381"
"5"	"5"	"706"	"472"
"6"	"6"	"548"	"930"
"7"	"7"	"804"	"943"
"8"	"8"	"432"	"306"
"9"	"9"	"474"	"693"
"10"	"10"	"603"	"484"
"11"	"11"	"561"	"466"
"12"	"12"	"164"	"868"
"13"	"13"	"264"	"243"
"14"	"14"	"410"	"740"
"15"	"15"	"346"	"440"
"16"	"16"	"12"	"583"
"17"	"17"	"558"	"716"
"18"	"18"	"90"	"365"
"19"	"19"	"905"	"560"
"20"	"20"	"773"	"334"
"21"	"21"	"864"	"823"
"22"	"22"	"314"	"155"
"23"	"23"	"237"	"42"
"24"	"24"	"758"	"581"
"25"	"25"	"888"	"728"
"26"	"26"	"952"	"461"
"27"	"27"	"372"	"103"
"28"	"28"	"48"	"532"
"29"	"29"	"292"	"141"
"30"	"30"	"56"	"330"
"31"	"31"	"207"	"976"
"32"	"32"	"79"	"434"
"33"	"33"	"692"	"978"
"34"	"34"	"122"	"563"
"35"	"35"	"568"	"317"
"36"	"36"	"797"	"435"
"37"	"37"	"287"	"851"
"38"	"38"	"834"	"500"
"39"	"39"	"327"	"614"
"40"	"40"	"328"	"446"
"41"	"41"	"426"	"916"
"42"	"42"	"78"	"574"
"43"	"43"	"514"	"346"
"44"	"44"	"526"	"683"
"45"	"45"	"377"	"268"
"46"	"46"	"974"	"12"
"47"	"47"	"387"	"764"
"48"	"48"	"399"	"895"
"49"	"49"	"230"	"648"
"50"	"50"	"835"	"269"
"51"	"51"	"242"	"764"
"52"	"52"	"173"	"165"
"53"	"53"	"841"	"541"
"54"	"54"	"262"	"734"
"55"	"55"	"832"	"685"
"56"	"56"	"525"	"121"
"57"	"57"	"150"	"414"
"58"	"58"	"254"	"292"
"59"	"59"	"322"	"445"
"60"	"60"	"565"	"156"
"61"	"61"	"775"	"51"
"62"	"62"	"324"	"347"
"63"	"63"	"44"	"989"
"64"	"64"	"674"	"545"
"65"	"65"	"458"	"915"
"66"	"66"	"594"	"3"
"67"	"67"	"86"	"20"
"68"	"68"	"180"	"172"
"69"	"69"	"726"	"690"
"70"	"70"	"167"	"139"
"71"	"71"	"664"	"246"
"72"	"72"	"52"	"318"
"73"	"73"	"311"	"719"
"74"	"74"	"429"	"872"
"75"	"75"	"949"	"408"
"76"	"76"	"111"	"368"
"77"	"77"	"350"	"908"
"78"	"78"	"718"	"825"
"79"	"79"	"155"	"429"
"80"	"80"	"775"	"133"
"81"	"81"	"500"	"636"
"82"	"82"	"396"	"880"
"83"	"83"	"492"	"68"
"84"	"84"	"873"	"866"
"85"	"85"	"987"	"534"
"86"	"86"	"153"	"978"
"87"	"87"	"596"	"241"
"88"	"88"	"417"	"661"
"89"	"89"	"773"	"163"
"90"	"90"	"600"	"530"
"91"	"91"	"187"	"933"
"92"	"92"	"840"	"38"
"93"	"93"	"926"	"130"
"94"	"94"	"85"	"797"
"95"	"95"	"36"	"361"
"96"	"96"	"470"	"406"
"97"	"97"	"174"	"917"
"98"	"98"	"771"	"573"
"99"	"99"	"364"	"912"
"100"	"100"	"375"	"301"
"101"	"101"	"417"	"89"
"102"	"102"	"720"	"658"
"103"	"103"	"121"	"746"
"104"	"104"	"348"	"782"
"105"	"105"	"459"	"480"
"106"	"106"	"739"	"972"
"107"	"107"	"108"	"648"
"108"	"108"	"776"	"127"
"109"	"109"	"41"	"71"
"110"	"110"	"811"	"488"
"111"	"111"	"32"	"614"
"112"	"112"	"64"	"645"
"113"	"113"	"405"	"546"
"114"	"114"	"823"	"391"
"115"	"115"	"365"	"855"
"116"	"116"	"667"	"967"
"117"	"117"	"231"	"878"
"118"	"118"	"707"	"260"
"119"	"119"	"557"	"442"
"120"	"120"	"724"	"833"
"121"	"121"	"233"	"579"
"122"	"122"	"107"	"235"
"123"	"123"	"696"	"332"
"124"	"124"	"40"	"252"
"125"	"125"	"440"	"909"
"126"	"126"	"962"	"160"
"127"	"127"	"941"	"903"
"128"	"128"	"195"	"750"
"129"	"129"	"748"	"492"
"130"	"130"	"888"	"206"
"131"	"131"	"804"	"255"
"132"	"132"	"684"	"204"
"133"	"133"	"633"	"714"
"134"	"134"	"389"	"230"
"135"	"135"	"926"	"734"
"136"	"136"	"723"	"145"
"137"	"137"	"482"	"583"
"138"	"138"	"123"	"595"
"139"	"139"	"728"	"446"
"140"	"140"	"784"	"416"
"141"	"141"	"283"	"371"
"142"	"142"	"3"	"429"
"143"	"143"	"324"	"940"
"144"	"144"	"151"	"622"
"145"	"145"	"1"	"734"
"146"	"146"	"454"	"566"
"147"	"147"	"677"	"983"
"148"	"148"	"330"	"109"
"149"	"149"	"828"	"688"
"150"	"150"	"412"	"338"
"151"	"151"	"962"	"736"
"152"	"152"	"419"	"78"
"153"	"153"	"595"	"357"
"154"	"154"	"134"	"583"
"155"	"155"	"873"	"392"
"156"	"156"	"732"	"375"
"157"	"157"	"78"	"613"
"158"	"158"	"696"	"56"
"159"	"159"	"81"	"940"
"160"	"160"	"942"	"633"
"161"	"161"	"113"	"120"
"162"	"162"	"287"	"972"
"163"	"163"	"342"	"683"
"164"	"164"	"497"	"562"
"165"	"165"	"419"	"257"
"166"	"166"	"742"	"8"
"167"	"167"	"651"	"623"
"168"	"168"	"725"	"313"
"169"	"169"	"924"	"531"
"170"	"170"	"999"	"780"
"171"	"171"	"248"	"791"
"172"	"172"	"42"	"3"
"173"	"173"	"442"	"617"
"174"	"174"	"293"	"448"
"175"	"175"	"931"	"853"
"176"	"176"	"374"	"119"
"177"	"177"	"688"	"855"
"178"	"178"	"210"	"712"
"179"	"179"	"593"	"21"
"180"	"180"	"136"	"254"
"181"	"181"	"297"	"141"
"182"	"182"	"605"	"321"
"183"	"183"	"126"	"575"
"184"	"184"	"795"	"457"
"185"	"185"	"262"	"847"
"186"	"186"	"531"	"808"
"187"	"187"	"180"	"391"
"188"	"188"	"656"	"975"
"189"	"189"	"351"	"709"
"190"	"190"	"473"	"913"
"191"	"191"	"92"	"566"
"192"	"192"	"798"	"821"
"193"	"193"	"78"	"139"
"194"	"194"	"417"	"222"
"195"	"195"	"331"	"120"
"196"	"196"	"88"	"285"
"197"	"197"	"503"	"379"
"198"	"198"	"368"	"705"
"199"	"199"	"2"	"364"
"200"	"200"	"729"	"874"
"201"	"201"	"956"	"180"
"202"	"202"	"670"	"710"
"203"	"203"	"607"	"749"
"204"	"204"	"556"	"985"
"205"	"205"	"81"	"785"
"206"	"206"	"561"	"61"
"207"	"207"	"643"	"45"
"208"	"208"	"163"	"932"
"209"	"209"	"599"	"557"
"210"	"210"	"731"	"493"
"211"	"211"	"765"	"247"
"212"	"212"	"563"	"640"
"213"	"213"	"459"	"173"
"214"	"214"	"123"	"395"
"215"	"215"	"12"	"301"
"216"	"216"	"786"	"271"
"217"	"217"	"136"	"306"
"218"	"218"	"906"	"114"
"219"	"219"	"653"	"547"
"220"	"220"	"209"	"62"
"221"	"221"	"89"	"881"
"222"	"222"	"373"	"825"
"223"	"223"	"429"	"368"
"224"	"224"	"569"	"556"
"225"	"225"	"329"	"276"
"226"	"226"	"335"	"472"
"227"	"227"	"348"	"219"
"228"	"228"	"195"	"64"
"229"	"229"	"678"	"870"
"230"	"230"	"235"	"817"
"231"	"231"	"662"	"198"
"232"	"232"	"813"	"69"
"233"	"233"	"283"	"460"
"234"	"234"	"670"	"786"
"235"	"235"	"968"	"958"
"236"	"236"	"702"	"303"
"237"	"237"	"337"	"250"
"238"	"238"	"539"	"225"
"239"	"239"	"325"	"191"
"240"	"240"	"374"	"922"
"241"	"241"	"905"	"460"
"242"	"242"	"34"	"111"
"243"	"243"	"545"	"193"
"244"	"244"	"359"	"422"
"245"	"245"	"953"	"250"
"246"	"246"	"127"	"518"
"247"	"247"	"612"	"738"
"248"	"248"	"34"	"607"
"249"	"249"	"965"	"6"
"250"	"250"	"602"	"572"
"251"	"251"	"956"	"243"
"252"	"252"	"199"	"179"
"253"	"253"	"587"	"349"
"254"	"254"	"376"	"283"
"255"	"255"	"291"	"196"
"256"	"256"	"491"	"478"
"257"	"257"	"153"	"988"
"258"	"258"	"922"	"833"
"259"	"259"	"674"	"741"
"260"	"260"	"495"	"54"
"261"	"261"	"822"	"49"
"262"	"262"	"8"	"454"
"263"	"263"	"388"	"266"
"264"	"264"	"934"	"538"
"265"	"265"	"810"	"158"
"266"	"266"	"58"	"752"
"267"	"267"	"533"	"749"
"268"	"268"	"451"	"333"
"269"	"269"	"45"	"290"
"270"	"270"	"438"	"920"
"271"	"271"	"454"	"819"
"272"	"272"	"864"	"944"
"273"	"273"	"256"	"801"
"274"	"274"	"629"	"892"
"275"	"275"	"574"	"367"
"276"	"276"	"50"	"873"
"277"	"277"	"609"	"929"
"278"	"278"	"397"	"97"
"279"	"279"	"63"	"849"
"280"	"280"	"919"	"584"
"281"	"281"	"568"	"567"
"282"	"282"	"407"	"367"
"283"	"283"	"90"	"854"
"284"	"284"	"474"	"747"
"285"	"285"	"753"	"878"
"286"	"286"	"110"	"132"
"287"	"287"	"702"	"265"
"288"	"288"	"912"	"956"
"289"	"289"	"704"	"255"
"290"	"290"	"819"	"84"
"291"	"291"	"115"	"895"
"292"	"292"	"331"	"600"
"293"	"293"	"721"	"257"
"294"	"294"	"141"	"991"
"295"	"295"	"528"	"44"
"296"	"296"	"365"	"391"
"297"	"297"	"473"	"854"
"298"	"298"	"884"	"168"
"299"	"299"	"679"	"245"
"300"	"300"	"784"	"480"
"301"	"301"	"321"	"254"
"302"	"302"	"904"	"849"
"303"	"303"	"64"	"375"
"304"	"304"	"465"	"998"
"305"	"305"	"312"	"967"
"306"	"306"	"459"	"616"
"307"	"307"	"161"	"894"
"308"	"308"	"173"	"798"
"309"	"309"	"516"	"351"
"310"	"310"	"301"	"789"
"311"	"311"	"601"	"453"
"312"	"312"	"132"	"537"
"313"	"313"	"817"	"43"
"314"	"314"	"861"	"12"
"315"	"315"	"204"	"282"
"316"	"316"	"79"	"828"
"317"	"317"	"301"	"615"
"318"	"318"	"112"	"477"
"319"	"319"	"943"	"725"
"320"	"320"	"815"	"868"
"321"	"321"	"185"	"937"
"322"	"322"	"62"	"566"
"323"	"323"	"486"	"879"
"324"	"324"	"741"	"640"
"325"	"325"	"79"	"753"
"326"	"326"	"177"	"628"
"327"	"327"	"290"	"698"
"328"	"328"	"686"	"167"
"329"	"329"	"547"	"509"
"330"	"330"	"438"	"21"
"331"	"331"	"691"	"440"
"332"	"332"	"913"	"726"
"333"	"333"	"369"	"448"
"334"	"334"	"194"	"500"
"335"	"335"	"864"	"562"
"336"	"336"	"160"	"7"
"337"	"337"	"588"	"441"
"338"	"338"	"88"	"282"
"339"	"339"	"729"	"803"
"340"	"340"	"484"	"394"
"341"	"341"	"566"	"951"
"342"	"342"	"370"	"56"
"343"	"343"	"617"	"948"
"344"	"344"	"386"	"92"
"345"	"345"	"510"	"423"
"346"	"346"	"52"	"536"
"347"	"347"	"930"	"908"
"348"	"348"	"443"	"213"
"349"	"349"	"145"	"243"
"350"	"350"	"122"	"482"
"351"	"351"	"78"	"440"
"352"	"352"	"886"	"238"
"353"	"353"	"983"	"819"
"354"	"354"	"331"	"146"
"355"	"355"	"590"	"734"
"356"	"356"	"262"	"828"
"357"	"357"	"645"	"62"
"358"	"358"	"281"	"444"
"359"	"359"	"358"	"118"
"360"	"360"	"256"	"280"
"361"	"361"	"914"	"580"
"362"	"362"	"802"	"123"
"363"	"363"	"226"	"451"
"364"	"364"	"149"	"792"
"365"	"365"	"114"	"127"
"366"	"366"	"91"	"325"
"367"	"367"	"652"	"564"
"368"	"368"	"400"	"775"
"369"	"369"	"702"	"845"
"370"	"370"	"146"	"199"
"371"	"371"	"762"	"927"
"372"	"372"	"542"	"617"
"373"	"373"	"120"	"503"
"374"	"374"	"423"	"45"
"375"	"375"	"277"	"384"
"376"	"376"	"383"	"107"
"377"	"377"	"580"	"41"
"378"	"378"	"31"	"698"
"379"	"379"	"602"	"145"
"380"	"380"	"887"	"80"
"381"	"381"	"324"	"712"
"382"	"382"	"528"	"964"
"383"	"383"	"164"	"21"
"384"	"384"	"530"	"171"
"385"	"385"	"567"	"140"
"386"	"386"	"293"	"391"
"387"	"387"	"932"	"807"
"388"	"388"	"597"	"989"
"389"	"389"	"164"	"457"
"390"	"390"	"258"	"366"
"391"	"391"	"899"	"585"
"392"	"392"	"530"	"780"
"393"	"393"	"535"	"601"
"394"	"394"	"664"	"131"
"395"	"395"	"530"	"117"
"396"	"396"	"726"	"547"
"397"	"397"	"985"	"890"
"398"	"398"	"889"	"530"
"399"	"399"	"879"	"536"
"400"	"400"	"526"	"950"
"401"	"401"	"652"	"280"
"402"	"402"	"306"	"438"
"403"	"403"	"330"	"611"
"404"	"404"	"888"	"637"
"405"	"405"	"187"	"450"
"406"	"406"	"72"	"292"
"407"	"407"	"893"	"96"
"408"	"408"	"83"	"689"
"409"	"409"	"397"	"187"
"410"	"410"	"896"	"923"
"411"	"411"	"325"	"828"
"412"	"412"	"5"	"832"
"413"	"413"	"179"	"660"
"414"	"414"	"199"	"129"
"415"	"415"	"383"	"103"
"416"	"416"	"580"	"249"
"417"	"417"	"206"	"634"
"418"	"418"	"5"	"144"
"419"	"419"	"899"	"639"
"420"	"420"	"746"	"628"
"421"	"421"	"841"	"38"
"422"	"422"	"470"	"435"
"423"	"423"	"157"	"848"
"424"	"424"	"479"	"130"
"425"	"425"	"290"	"364"
"426"	"426"	"284"	"807"
"427"	"427"	"285"	"524"
"428"	"428"	"723"	"861"
"429"	"429"	"264"	"552"
"430"	"430"	"337"	"414"
"431"	"431"	"695"	"628"
"432"	"432"	"65"	"328"
"433"	"433"	"574"	"419"
"434"	"434"	"223"	"999"
"435"	"435"	"228"	"124"
"436"	"436"	"841"	"23"
"437"	"437"	"322"	"588"
"438"	"438"	"297"	"222"
"439"	"439"	"226"	"626"
"440"	"440"	"103"	"668"
"441"	"441"	"427"	"45"
"442"	"442"	"530"	"838"
"443"	"443"	"8"	"987"
"444"	"444"	"450"	"845"
"445"	"445"	"219"	"200"
"446"	"446"	"990"	"396"
"447"	"447"	"213"	"354"
"448"	"448"	"802"	"859"
"449"	"449"	"855"	"652"
"450"	"450"	"88"	"854"
"451"	"451"	"306"	"621"
"452"	"452"	"443"	"447"
"453"	"453"	"592"	"813"
"454"	"454"	"646"	"822"
"455"	"455"	"610"	"167"
"456"	"456"	"363"	"399"
"457"	"457"	"17"	"803"
"458"	"458"	"330"	"801"
"459"	"459"	"404"	"465"
"460"	"460"	"793"	"976"
"461"	"461"	"341"	"71"
"462"	"462"	"256"	"208"
"463"	"463"	"567"	"614"
"464"	"464"	"983"	"664"
"465"	"465"	"594"	"487"
"466"	"466"	"464"	"791"
"467"	"467"	"981"	"545"
"468"	"468"	"5"	"107"
"469"	"469"	"683"	"600"
"470"	"470"	"971"	"647"
"471"	"471"	"469"	"845"
"472"	"472"	"706"	"514"
"473"	"473"	"903"	"921"
"474"	"474"	"196"	"642"
"475"	"475"	"422"	"51"
"476"	"476"	"712"	"256"
"477"	"477"	"943"	"43"
"478"	"478"	"522"	"198"
"479"	"479"	"736"	"16"
"480"	"480"	"777"	"517"
"481"	"481"	"31"	"39"
"482"	"482"	"618"	"66"
"483"	"483"	"532"	"294"
"484"	"484"	"934"	"887"
"485"	"485"	"677"	"322"
"486"	"486"	"365"	"904"
"487"	"487"	"443"	"211"
"488"	"488"	"944"	"731"
"489"	"489"	"320"	"518"
"490"	"490"	"877"	"134"
"491"	"491"	"977"	"432"
"492"	"492"	"481"	"843"
"493"	"493"	"312"	"846"
"494"	"494"	"755"	"569"
"495"	"495"	"35"	"662"
"496"	"496"	"600"	"702"
"497"	"497"	"363"	"479"
"498"	"498"	"421"	"456"
"499"	"499"	"601"	"525"
"500"	"500"	"41"	"786"
"501"	"501"	"116"	"483"
"502"	"502"	"832"	"557"
"503"	"503"	"733"	"275"
"504"	"504"	"958"	"578"
"505"	"505"	"136"	"166"
"506"	"506"	"913"	"805"
"507"	"507"	"75"	"227"
"508"	"508"	"542"	"914"
"509"	"509"	"820"	"460"
"510"	"510"	"615"	"692"
"511"	"511"	"262"	"752"
"512"	"512"	"540"	"831"
"513"	"513"	"96"	"699"
"514"	"514"	"986"	"149"
"515"	"515"	"80"	"32"
"516"	"516"	"863"	"104"
"517"	"517"	"92"	"448"
"518"	"518"	"376"	"341"
"519"	"519"	"186"	"463"
"520"	"520"	"17"	"893"
"521"	"521"	"798"	"649"
"522"	"522"	"969"	"155"
"523"	"523"	"761"	"563"
"524"	"524"	"22"	"859"
"525"	"525"	"52"	"285"
"526"	"526"	"526"	"98"
"527"	"527"	"406"	"430"
"528"	"528"	"617"	"591"
"529"	"529"	"139"	"39"
"530"	"530"	"322"	"353"
"531"	"531"	"318"	"385"
"532"	"532"	"464"	"368"
"533"	"533"	"591"	"550"
"534"	"534"	"428"	"935"
"535"	"535"	"914"	"431"
"536"	"536"	"770"	"730"
"537"	"537"	"490"	"656"
"538"	"538"	"153"	"521"
"539"	"539"	"439"	"135"
"540"	"540"	"584"	"41"
"541"	"541"	"869"	"5"
"542"	"542"	"8"	"359"
"543"	"543"	"7"	"861"
"544"	"544"	"141"	"650"
"545"	"545"	"117"	"916"
"546"	"546"	"483"	"163"
"547"	"547"	"728"	"890"
"548"	"548"	"222"	"562"
"549"	"549"	"232"	"851"
"550"	"550"	"467"	"476"
"551"	"551"	"420"	"390"
"552"	"552"	"998"	"61"
"553"	"553"	"680"	"197"
"554"	"554"	"999"	"487"
"555"	"555"	"841"	"614"
"556"	"556"	"561"	"1"
"557"	"557"	"425"	"773"
"558"	"558"	"946"	"443"
"559"	"559"	"604"	"505"
"560"	"560"	"965"	"445"
"561"	"561"	"393"	"431"
"562"	"562"	"366"	"507"
"563"	"563"	"704"	"309"
"564"	"564"	"543"	"594"
"565"	"565"	"1000"	"527"
"566"	"566"	"174"	"706"
"567"	"567"	"452"	"86"
"568"	"568"	"151"	"693"
"569"	"569"	"652"	"444"
"570"	"570"	"383"	"122"
"571"	"571"	"356"	"212"
"572"	"572"	"32"	"435"
"573"	"573"	"582"	"615"
"574"	"574"	"104"	"804"
"575"	"575"	"622"	"165"
"576"	"576"	"826"	"898"
"577"	"577"	"119"	"491"
"578"	"578"	"518"	"415"
"579"	"579"	"33"	"67"
"580"	"580"	"791"	"443"
"581"	"581"	"379"	"552"
"582"	"582"	"994"	"587"
"583"	"583"	"187"	"179"
"584"	"584"	"870"	"586"
"585"	"585"	"32"	"298"
"586"	"586"	"429"	"749"
"587"	"587"	"946"	"837"
"588"	"588"	"76"	"140"
"589"	"589"	"591"	"926"
"590"	"590"	"782"	"150"
"591"	"591"	"166"	"294"
"592"	"592"	"403"	"406"
"593"	"593"	"627"	"148"
"594"	"594"	"785"	"1"
"595"	"595"	"988"	"798"
"596"	"596"	"989"	"381"
"597"	"597"	"880"	"206"
"598"	"598"	"333"	"260"
"599"	"599"	"736"	"675"
"600"	"600"	"859"	"388"
"601"	"601"	"90"	"858"
"602"	"602"	"574"	"205"
"603"	"603"	"320"	"531"
"604"	"604"	"555"	"191"
"605"	"605"	"747"	"12"
"606"	"606"	"876"	"196"
"607"	"607"	"499"	"743"
"608"	"608"	"682"	"162"
"609"	"609"	"128"	"477"
"610"	"610"	"668"	"197"
"611"	"611"	"319"	"338"
"612"	"612"	"314"	"450"
"613"	"613"	"128"	"24"
"614"	"614"	"174"	"900"
"615"	"615"	"476"	"219"
"616"	"616"	"453"	"761"
"617"	"617"	"809"	"381"
"618"	"618"	"289"	"814"
"619"	"619"	"211"	"722"
"620"	"620"	"783"	"226"
"621"	"621"	"488"	"148"
"622"	"622"	"483"	"525"
"623"	"623"	"523"	"622"
"624"	"624"	"139"	"664"
"625"	"625"	"444"	"453"
"626"	"626"	"919"	"402"
"627"	"627"	"520"	"46"
"628"	"628"	"810"	"657"
"629"	"629"	"564"	"779"
"630"	"630"	"668"	"872"
"631"	"631"	"209"	"754"
"632"	"632"	"523"	"990"
"633"	"633"	"973"	"867"
"634"	"634"	"697"	"270"
"635"	"635"	"193"	"726"
"636"	"636"	"658"	"759"
"637"	"637"	"391"	"597"
"638"	"638"	"976"	"918"
"639"	"639"	"614"	"540"
"640"	"640"	"611"	"260"
"641"	"641"	"801"	"6"
"642"	"642"	"463"	"987"
"643"	"643"	"172"	"163"
"644"	"644"	"469"	"898"
"645"	"645"	"851"	"494"
"646"	"646"	"376"	"954"
"647"	"647"	"791"	"579"
"648"	"648"	"459"	"329"
"649"	"649"	"567"	"213"
"650"	"650"	"360"	"489"
"651"	"651"	"575"	"868"
"652"	"652"	"968"	"124"
"653"	"653"	"336"	"968"
"654"	"654"	"179"	"147"
"655"	"655"	"682"	"571"
"656"	"656"	"33"	"283"
"657"	"657"	"376"	"505"
"658"	"658"	"803"	"24"
"659"	"659"	"137"	"779"
"660"	"660"	"136"	"279"
"661"	"661"	"645"	"767"
"662"	"662"	"529"	"422"
"663"	"663"	"808"	"154"
"664"	"664"	"322"	"198"
"665"	"665"	"91"	"501"
"666"	"666"	"597"	"170"
"667"	"667"	"907"	"344"
"668"	"668"	"695"	"163"
"669"	"669"	"183"	"221"
"670"	"670"	"418"	"534"
"671"	"671"	"766"	"884"
"672"	"672"	"214"	"458"
"673"	"673"	"446"	"227"
"674"	"674"	"940"	"409"
"675"	"675"	"983"	"226"
"676"	"676"	"65"	"661"
"677"	"677"	"505"	"355"
"678"	"678"	"35"	"641"
"679"	"679"	"29"	"149"
"680"	"680"	"791"	"666"
"681"	"681"	"48"	"561"
"682"	"682"	"18"	"644"
"683"	"683"	"667"	"663"
"684"	"684"	"842"	"375"
"685"	"685"	"507"	"200"
"686"	"686"	"146"	"616"
"687"	"687"	"762"	"257"
"688"	"688"	"336"	"869"
"689"	"689"	"961"	"923"
"690"	"690"	"183"	"366"
"691"	"691"	"197"	"391"
"692"	"692"	"498"	"908"
"693"	"693"	"588"	"566"
"694"	"694"	"449"	"590"
"695"	"695"	"560"	"563"
"696"	"696"	"66"	"486"
"697"	"697"	"704"	"756"
"698"	"698"	"63"	"56"
"699"	"699"	"567"	"944"
"700"	"700"	"273"	"867"
"701"	"701"	"831"	"969"
"702"	"702"	"585"	"801"
"703"	"703"	"956"	"282"
"704"	"704"	"67"	"379"
"705"	"705"	"730"	"879"
"706"	"706"	"88"	"277"
"707"	"707"	"830"	"496"
"708"	"708"	"671"	"442"
"709"	"709"	"459"	"962"
"710"	"710"	"144"	"318"
"711"	"711"	"358"	"40"
"712"	"712"	"70"	"444"
"713"	"713"	"754"	"182"
"714"	"714"	"547"	"289"
"715"	"715"	"895"	"763"
"716"	"716"	"973"	"963"
"717"	"717"	"154"	"762"
"718"	"718"	"664"	"369"
"719"	"719"	"844"	"497"
"720"	"720"	"931"	"594"
"721"	"721"	"757"	"752"
"722"	"722"	"16"	"201"
"723"	"723"	"892"	"878"
"724"	"724"	"647"	"365"
"725"	"725"	"768"	"295"
"726"	"726"	"653"	"361"
"727"	"727"	"824"	"778"
"728"	"728"	"994"	"781"
"729"	"729"	"397"	"962"
"730"	"730"	"799"	"217"
"731"	"731"	"22"	"569"
"732"	"732"	"124"	"294"
"733"	"733"	"42"	"295"
"734"	"734"	"546"	"621"
"735"	"735"	"649"	"321"
"736"	"736"	"957"	"479"
"737"	"737"	"861"	"368"
"738"	"738"	"106"	"125"
"739"	"739"	"321"	"901"
"740"	"740"	"722"	"405"
"741"	"741"	"870"	"332"
"742"	"742"	"69"	"313"
"743"	"743"	"548"	"919"
"744"	"744"	"630"	"629"
"745"	"745"	"747"	"846"
"746"	"746"	"236"	"19"
"747"	"747"	"987"	"699"
"748"	"748"	"890"	"85"
"749"	"749"	"122"	"238"
"750"	"750"	"911"	"388"
"751"	"751"	"940"	"10"
"752"	"752"	"205"	"793"
"753"	"753"	"374"	"275"
"754"	"754"	"715"	"693"
"755"	"755"	"760"	"959"
"756"	"756"	"578"	"340"
"757"	"757"	"684"	"644"
"758"	"758"	"829"	"845"
"759"	"759"	"171"	"932"
"760"	"760"	"672"	"656"
"761"	"761"	"271"	"444"
"762"	"762"	"909"	"212"
"763"	"763"	"285"	"471"
"764"	"764"	"926"	"773"
"765"	"765"	"545"	"538"
"766"	"766"	"21"	"404"
"767"	"767"	"14"	"277"
"768"	"768"	"555"	"27"
"769"	"769"	"623"	"255"
"770"	"770"	"117"	"123"
"771"	"771"	"103"	"34"
"772"	"772"	"897"	"867"
"773"	"773"	"234"	"961"
"774"	"774"	"863"	"274"
"775"	"775"	"611"	"276"
"776"	"776"	"340"	"602"
"777"	"777"	"538"	"265"
"778"	"778"	"247"	"543"
"779"	"779"	"242"	"462"
"780"	"780"	"204"	"948"
"781"	"781"	"130"	"338"
"782"	"782"	"308"	"617"
"783"	"783"	"242"	"691"
"784"	"784"	"296"	"979"
"785"	"785"	"220"	"775"
"786"	"786"	"873"	"769"
"787"	"787"	"834"	"637"
"788"	"788"	"477"	"210"
"789"	"789"	"404"	"324"
"790"	"790"	"685"	"593"
"791"	"791"	"325"	"123"
"792"	"792"	"323"	"997"
