"region_id"	"name"	"continent_id"
"1"	"Tao Kwok Yin"	"646"
"2"	"Hu Anqi"	"384"
"3"	"Liu Xiuying"	"58"
"4"	"William Wood"	"380"
"5"	"Ng Ka Ming"	"607"
"6"	"Glenn Hill"	"911"
"7"	"Yamaguchi Daichi"	"39"
"8"	"Fu Hok Yau"	"256"
"9"	"Cho Wing Fat"	"422"
"10"	"Ku Hui Mei"	"143"
"11"	"Abe Ayano"	"669"
"12"	"Ogawa Airi"	"636"
"13"	"Long Lan"	"13"
"14"	"Roy Brooks"	"635"
"15"	"Cynthia Adams"	"757"
"16"	"Fan Hok Yau"	"651"
"17"	"Cui Yuning"	"806"
"18"	"Mao Lan"	"979"
"19"	"Ding Lu"	"401"
"20"	"Ogawa Ayato"	"911"
"21"	"Yao Jialun"	"394"
"22"	"Lo On Na"	"185"
"23"	"Shao Lu"	"98"
"24"	"Hirano Yamato"	"663"
"25"	"Tin Sum Wing"	"479"
"26"	"Fujita Mio"	"726"
"27"	"Takeuchi Ikki"	"737"
"28"	"Yu Lu"	"5"
"29"	"Chris Schmidt"	"855"
"30"	"Ho Ka Keung"	"169"
"31"	"Fukuda Hazuki"	"442"
"32"	"Hara Miu"	"745"
"33"	"Gong Rui"	"941"
"34"	"Lucille Rodriguez"	"871"
"35"	"Okada Kaito"	"135"
"36"	"Liu Anqi"	"683"
"37"	"Siu Chieh Lun"	"355"
"38"	"Gary Nichols"	"769"
"39"	"Xue Zhiyuan"	"638"
"40"	"Hayashi Sakura"	"131"
"41"	"Tamura Misaki"	"972"
"42"	"Lui Ho Yin"	"448"
"43"	"Lu Lu"	"482"
"44"	"Hsuan Ka Fai"	"404"
"45"	"Ma Anqi"	"296"
"46"	"Yam Chi Yuen"	"343"
"47"	"Xue Yunxi"	"932"
"48"	"To Hok Yau"	"590"
"49"	"Lam Chung Yin"	"604"
"50"	"Takahashi Momoe"	"107"
"51"	"Katherine Griffin"	"705"
"52"	"Sakamoto Ren"	"991"
"53"	"Curtis King"	"639"
"54"	"Wei Zhennan"	"368"
"55"	"Allen Garza"	"967"
"56"	"Jiang Lan"	"351"
"57"	"Chang Fat"	"690"
"58"	"Nicholas Gutierrez"	"559"
"59"	"Morita Hina"	"627"
"60"	"Guo Lu"	"238"
"61"	"Ishida Itsuki"	"279"
"62"	"Ding Jiehong"	"271"
"63"	"Lee Fat"	"286"
"64"	"Shirley Simpson"	"59"
"65"	"Xiong Jiehong"	"133"
"66"	"Yamaguchi Ayato"	"599"
"67"	"Heung Wing Suen"	"600"
"68"	"Kao Sau Man"	"438"
"69"	"Sheh Chieh Lun"	"320"
"70"	"Dai Zhiyuan"	"931"
"71"	"Matsuda Kenta"	"574"
"72"	"April Hill"	"806"
"73"	"He Yuning"	"568"
"74"	"Yuen Hui Mei"	"856"
"75"	"Sun Zitao"	"358"
"76"	"Lai Hiu Tung"	"309"
"77"	"Teresa Thompson"	"892"
"78"	"Hasegawa Mio"	"404"
"79"	"Virginia Peterson"	"372"
"80"	"Samuel Wallace"	"225"
"81"	"Jiang Zhennan"	"273"
"82"	"Dale Marshall"	"335"
"83"	"Gao Xiaoming"	"677"
"84"	"Takagi Yuto"	"804"
"85"	"Lam Chung Yin"	"453"
"86"	"Lei Anqi"	"122"
"87"	"Wang Zitao"	"724"
"88"	"Matsui Yuito"	"778"
"89"	"Sasaki Tsubasa"	"196"
"90"	"Barbara Wallace"	"141"
"91"	"Edward Wagner"	"74"
"92"	"Yuen Wai San"	"240"
"93"	"Kikuchi Itsuki"	"523"
"94"	"Ying Wing Sze"	"810"
"95"	"Ishikawa Yamato"	"376"
"96"	"Kaneko Sakura"	"362"
"97"	"Fu Zhennan"	"601"
"98"	"Rodney Ramos"	"962"
"99"	"Tamura Aoshi"	"172"
"100"	"Wu Ziyi"	"116"
"101"	"Takeda Yuna"	"183"
"102"	"Tsui Wai San"	"455"
"103"	"Allen Kelly"	"442"
"104"	"Janice Mason"	"528"
"105"	"Ku Kar Yan"	"199"
"106"	"Debra Ryan"	"766"
"107"	"Alexander Griffin"	"957"
"108"	"Ng Sai Wing"	"482"
"109"	"Suzuki Itsuki"	"651"
"110"	"Evelyn Gonzales"	"309"
"111"	"Mui Chi Ming"	"247"
"112"	"Juanita Taylor"	"323"
"113"	"Carmen Sullivan"	"132"
"114"	"Herbert Murray"	"496"
"115"	"Mo Anqi"	"590"
"116"	"Yamazaki Yota"	"465"
"117"	"Tang Xiuying"	"472"
"118"	"He Anqi"	"464"
"119"	"Otsuka Seiko"	"844"
"120"	"Meng Wing Fat"	"526"
"121"	"Ding Rui"	"656"
"122"	"Ellen Cook"	"138"
"123"	"Danielle Russell"	"778"
"124"	"Nakajima Daisuke"	"300"
"125"	"Rita Wright"	"860"
